Sl.No,Mol_Smiles,Mol_Code,Pol_DFT,Den_MD,pol_den_product/1000,RI_LL,Pol_geom,nBB,MW_pybel,RI_geom
498827,s1ccc(c1)Cc1cccc2c1cccc2c1cccs1,F7-F16-F1-F7,230.52,1211.13,279.1896876,1.5964,239.6479,4,306.44446,1.62588998338
876829,N1CNC(NC1)N1CNC(NC1)N1CNCNC1c1cnccn1,F9-F9-F9-F12,205.9306,1268.84,261.292982504,1.494,209.7201,4,335.4113,1.50473381401
1101283,C1CSC(C(S1)c1cnccc1c1cncs1)c1cnccn1,F6-F11-F14-F12,228.9503,1302.76,298.267292828,1.5341,236.7931,4,358.50416,1.55623599149
969560,N1CN(CN(C1)c1ccc2c(c1)cccc2)c1ccc(o1)c1cocc1,F15-F15-F9-F16,261.6942,1225.33,320.661754086,1.6105,271.2431,4,345.39446,1.63845063777
46443,OC1CCC(C1)(c1cccnc1)c1cocc1,F10-F15-F11-F3,147.8611,1157.14,171.095993254,1.4697,151.673,4,229.2744,1.48392021695
1180548,Sc1ccc2c(c1)c(ccc2)c1ccc2c(c1)ccc(c2)c1ccccn1,F2-F16-F16-F11,326.2722,1175.8,383.63085276,1.7187,340.6077,4,363.47418,1.76063497823
314749,Cc1ccc2c(c1)c(ccc2)c1occc1c1cccnc1,F15-F16-F11-F1,225.3735,1133.65,255.494668275,1.5839,235.007,4,285.3392,1.61482388374
187069,Oc1ccncc1c1csc(n1)c1cscn1,F14-F14-F11-F3,173.3863,1396.09,242.062879567,1.6088,180.5868,4,261.32278,1.64053577597
1279865,N1CNC(NC1)c1scc(c1)C1(CSCCS1)c1cncs1,F6-F7-F14-F9,226.3785,1376.33,311.571520905,1.5409,231.7449,4,370.57952,1.55640981142
127669,Oc1cccc(n1)c1ccncc1c1nccnc1,F3-F11-F11-F12,171.8606,1228.86,211.192616916,1.5433,180.668,4,250.2554,1.57728244351
1444968,C1NCN(CN1)C1SC(CSC1c1ccco1)c1cccc2c1cccc2,F6-F9-F16-F15,279.3456,1249.66,349.087022496,1.5701,283.2005,4,397.55682,1.57970376145
336929,Oc1ncc(s1)c1cc2ccccc2c(c1)c1cocc1,F14-F16-F15-F3,217.8665,1301.58,283.57067907,1.6422,229.5253,4,293.33974,1.68618973175
829196,n1ccc(cc1)c1csc(n1)c1ncc(s1)c1nncs1,F14-F14-F11-F8,243.6036,1420.78,346.107122808,1.7144,254.5941,4,329.42318,1.75716014008
283604,C1CCC(C1)C1CCC(C1c1cscc1)C1CCCC1,F10-F10-F7-F10,203.3249,1009.88,205.333750012,1.4447,209.5798,4,288.49062,1.46052582371
1447088,C1CSC(C(S1)C1CSC(CS1)c1cccnc1)c1cncs1,F6-F11-F6-F14,252.093,1345.59,339.21381987,1.5488,256.5229,4,398.65252,1.56044999688
86990,C1CCC(C1)c1scc(n1)Cc1cccnc1,F1-F14-F10-F11,166.6083,1114.55,185.693280765,1.4798,171.2033,4,244.35524,1.49538285229
1170869,C1CSC(C(S1)c1csc(c1)c1cccnc1)c1nncs1,F6-F7-F8-F11,235.0291,1361.73,320.046176343,1.5719,242.5111,4,363.54382,1.59426962634
851623,N1CNC(NC1)c1ncc(nc1)c1scc(c1)c1cnsn1,F7-F13-F12-F9,228.2518,1411.78,322.241326204,1.6469,233.7291,4,331.41922,1.66659890565
656356,N1CNC(NC1)c1ccc(cc1)c1cncc(c1)c1ccncc1,F5-F9-F11-F11,239.7872,1218.08,292.079992576,1.6039,249.6372,4,317.38766,1.63494894587
602822,Sc1nccnc1c1cnc(s1)C1CSCCS1,F12-F14-F6-F2,201.356,1402.83,282.46823748,1.5884,214.2531,4,313.48514,1.63553677243
886671,c1csc(n1)C1NCN(CN1)c1scnc1c1ncsc1,F9-F14-F14-F14,204.3787,1437.15,293.722848705,1.5661,212.3455,4,336.45888,1.59317082906
712442,C1NCN(CN1)C1CCC(C1)(C1NCNCN1)c1cccs1,F9-F10-F9-F7,205.0742,1228.24,251.880335408,1.4955,212.3029,4,322.47214,1.51627365314
969064,Cc1cccc2c1cc(cc2)C1(CSCCS1)N1CNCNC1,F6-F16-F1-F9,246.7551,1200.41,296.207289591,1.5537,250.6795,4,345.52532,1.56441828823
911352,OC1SCC(SC1)c1ccc2c(c1c1ccccn1)cccc2,F3-F6-F16-F11,248.298,1221.2,303.2215176,1.5821,253.0299,4,339.47438,1.59576495969
509552,c1cnc(cn1)c1nccnc1c1ccc(o1)c1nccs1,F14-F15-F12-F12,225.1478,1321.35,297.49904553,1.6433,237.2863,4,307.32986,1.68772650024
